Match,Issue,Recompense,Pct_joueurs
Belgique vs Egypte,Belgique (1),57,81
Belgique vs Egypte,Nul (N),122,14
Belgique vs Egypte,Egypte (2),135,5
Arabie Saoudite vs Uruguay,Arabie Saoudite (1),146,6
Arabie Saoudite vs Uruguay,Nul (N),125,14
Arabie Saoudite vs Uruguay,Uruguay (2),50,81
Iran vs Nouvelle-Zelande,Iran (1),63,35
Iran vs Nouvelle-Zelande,Nul (N),116,44
Iran vs Nouvelle-Zelande,Nouvelle-Zelande (2),130,21
